4.800000000000000000e+01,4.350000000000000000e+04,1.000000000000000000e+00,3.600000000000000000e+01,1.000000000000000000e+00
4.500000000000000000e+01,3.432300000000000000e+04,1.000000000000000000e+00,2.400000000000000000e+01,2.000000000000000000e+00
2.700000000000000000e+01,4.557400000000000000e+04,1.000000000000000000e+00,1.500000000000000000e+01,3.000000000000000000e+00
5.700000000000000000e+01,4.406700000000000000e+04,1.000000000000000000e+00,2.100000000000000000e+01,4.000000000000000000e+00
6.200000000000000000e+01,5.558300000000000000e+04,1.000000000000000000e+00,6.000000000000000000e+00,1.000000000000000000e+00
3.600000000000000000e+01,2.867900000000000000e+04,2.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00
3.100000000000000000e+01,5.487000000000000000e+04,2.000000000000000000e+00,1.500000000000000000e+01,0.000000000000000000e+00
5.300000000000000000e+01,4.881200000000000000e+04,2.000000000000000000e+00,2.000000000000000000e+01,4.000000000000000000e+00
4.000000000000000000e+01,2.488900000000000000e+04,2.000000000000000000e+00,3.000000000000000000e+00,7.000000000000000000e+00
4.500000000000000000e+01,2.172300000000000000e+04,1.000000000000000000e+00,2.900000000000000000e+01,1.000000000000000000e+00
5.900000000000000000e+01,5.402300000000000000e+04,2.000000000000000000e+00,8.000000000000000000e+00,8.000000000000000000e+00
5.300000000000000000e+01,5.763700000000000000e+04,2.000000000000000000e+00,1.400000000000000000e+01,1.000000000000000000e+00
3.800000000000000000e+01,5.827300000000000000e+04,2.000000000000000000e+00,6.000000000000000000e+00,8.000000000000000000e+00
3.800000000000000000e+01,5.701300000000000000e+04,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+00
5.000000000000000000e+01,5.641700000000000000e+04,1.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00
3.100000000000000000e+01,2.035500000000000000e+04,1.000000000000000000e+00,1.400000000000000000e+01,7.000000000000000000e+00
5.700000000000000000e+01,5.105000000000000000e+04,1.000000000000000000e+00,1.200000000000000000e+01,4.000000000000000000e+00
5.000000000000000000e+01,3.998500000000000000e+04,1.000000000000000000e+00,3.100000000000000000e+01,3.000000000000000000e+00
6.200000000000000000e+01,2.497000000000000000e+04,1.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+00
4.000000000000000000e+01,3.310200000000000000e+04,1.000000000000000000e+00,3.600000000000000000e+01,3.000000000000000000e+00
3.800000000000000000e+01,4.041300000000000000e+04,2.000000000000000000e+00,1.100000000000000000e+01,4.000000000000000000e+00
4.200000000000000000e+01,2.848700000000000000e+04,1.000000000000000000e+00,2.700000000000000000e+01,8.000000000000000000e+00
